역사명,노선명,역위도,역경도
각산,대구 도시철도 1호선,35.867852,128.723843
교대,대구 도시철도 1호선,35.8510953,128.5864303
대곡(정부대구청사),대구 도시철도 1호선,35.809271,128.51117
대구역,대구 도시철도 1호선,35.876379,128.596919
대구한의대병원,대구 도시철도 1호선,35.8717089,128.7508237
대명,대구 도시철도 1호선,35.8392924,128.5612846
동구청(큰고개),대구 도시철도 1호선,35.884485,128.632295
동대구역,대구 도시철도 1호선,35.877626,128.627152
동촌(동촌유원지),대구 도시철도 1호선,35.886339,128.650455
명덕(2.28민주운동기념회관),대구 도시철도 1호선,35.85732,128.5906
반야월,대구 도시철도 1호선,35.865848,128.713663
반월당,대구 도시철도 1호선,35.86389,128.593312
방촌,대구 도시철도 1호선,35.879929,128.669767
부호(경일대·호산대),대구 도시철도 1호선,35.9002809,128.8031144
상인,대구 도시철도 1호선,35.8193983,128.5369588
서부정류장(관문시장),대구 도시철도 1호선,35.8373375,128.5526302
설화명곡,대구 도시철도 1호선,35.7986179,128.4893927
송현,대구 도시철도 1호선,35.831092,128.551755
신기,대구 도시철도 1호선,35.866761,128.701724
신천(경북대입구),대구 도시철도 1호선,35.875027,128.617244
아양교(대구국제공항입구),대구 도시철도 1호선,35.887208,128.639572
안심(혁신도시·첨복단지),대구 도시철도 1호선,35.87,128.73
안지랑,대구 도시철도 1호선,35.839,128.57
영대병원,대구 도시철도 1호선,35.8442516,128.5882407
용계,대구 도시철도 1호선,35.876256,128.681414
월배,대구 도시철도 1호선,35.816123,128.530119
월촌,대구 도시철도 1호선,35.823695,128.545465
율하,대구 도시철도 1호선,35.869751,128.692775
중앙로,대구 도시철도 1호선,35.869873,128.593688
진천,대구 도시철도 1호선,35.813815,128.522374
칠성시장,대구 도시철도 1호선,35.876459,128.604185
하양(대구가톨릭대),대구 도시철도 1호선,35.9094258,128.8175403
해안,대구 도시철도 1호선,35.883765,128.659079
현충로,대구 도시철도 1호선,35.50272,128.3453
화원,대구 도시철도 1호선,35.804349,128.500409
